,Type,ProductBrand,Color,Size,LookBook,Gender,Fabric,ImageLink,Season,DiscountedPrice,Discount,ProductLink
10,leotude oversized cottonblend half sleeve back printed drop shoulder men t-shirt,leotude,black blue,S,funky,men,cotton blend,https://m.media-amazon.com/images/I/61Hs6wrN9GL._SY879_.jpg,,289,74%,https://www.amazon.in/LEOTUDE-Oversize-Round-T-Shirt-FS49_Punisher_P_Black_M/dp/B0BVB4J15N/ref=sr_1_15?crid=1HI6MK5BF1PPA&dib=eyJ2IjoiMSJ9.DokOF8qJTslPYnUqVFhJ8MkkADu-SYMe4HIFBzhc060MdAlLY-pRlIdOGXO2oYFOio-yQqQ_PN3ebD4tYgDnEA6hFVcDaDkqsIP6awAMWX0yiemqINt1OULk8ASHcjK3epqA9s0MRQB8eVnTBWRrB1Com84umJZZ_clFILdSfnGu72tDDiUr6bjBYcGBUjnCRNq8rTW7LRWXiBkUUnT7QtG3JOlORh_0KBeMxmtLaAYxAxc-XgwDx4Bk7OAO0Y9ABgTeaC6ekocYRy4DXNEwchK_DGNQQkHrnhW250SOvNc.CZMEJiy6LBWialpROw3An-sdtR95GnwsrYWNW5YvFAQ&dib_tag=se&keywords=funky+t+shirt+for+men&qid=1713619939&s=apparel&sprefix=funk%2Capparel%2C207&sr=1-15
11,the dry state womens half slevees round neck oversize fit cotton tshirt,the dry state,white,S,funky,women,cotton blend,https://m.media-amazon.com/images/I/51XeD6LnxhL.jpg,,449,68%,https://www.amazon.in/DRY-STATE-womens-Graphic-Oversize/dp/B09TNXCHF9/ref=sr_1_2?crid=2VFM32TI99ODL&dib=eyJ2IjoiMSJ9.xnc12d_rYXBTOt_nLlNVqVyxUvak9ItTz9cRzwuAHZink6CYlSH8mfPs43stgdGkzO5uhGnJGQgkmkPTfTjMjBt2CDGkJeXeqSyMmISjuQ0yFgddXnVm_TK-MrVirkLRsG6pM42yCB01Q_1M4MKolP7oZeyjsV8XTEWpCEJdjAehcg-L_GkK9ZkdH_rzkcmhiMj6Zy_-1XVpRah6nq8Amt3hwyYJNv5W9Jm5k2T2w-FkRWRIqv0SSuwq_u0WPufYUyYkti9gCjlHvyFy7bkTsQKESmVYKl3-5zwjkszCCWY.wmMV03E2kZ1qIOjyYLaemGx7mleZQ19wgvAG75adymE&dib_tag=se&keywords=funky+t+shirt+for+women&qid=1713620124&s=apparel&sprefix=funky+t+shirt+for+women%2Capparel%2C193&sr=1-2
12,"blum denim women's formal shirt: shirt collar, 3/4th sleeves, in black inbox fabric",blum,blue white,L,formal,women,cotton,https://m.media-amazon.com/images/I/519+BVjlD0L._SX679_.jpg,,649,48%,https://www.amazon.in/BLUM-Denim-womens-Formal-Shirt/dp/B0CQHBN7BJ/ref=sr_1_2_sspa?crid=3FJLKSGL5CEL1&dib=eyJ2IjoiMSJ9.5nPE6Dl2JoeUepyAMYKi-U3Xs0auzxMnNuxlfr0zsczo2CTG5NTt_0cvB6xFKN5OGFxtdS9thR9dW3bcuC5hNlrzr_ef2DBRJBvcLq8yYDd5qkSL_gREIP2RgwFBvE34whVya6gEz9uXYcrQ50Jpe-ffFOOSVkVTfdS_sP3gAF1nokuDFNYrVwUqNt66DtCUZh5wyw9-q6ImjZGSROCaneLq6h_7ByUbdiTmDR-4BRqx0vspoaRJOB-iZgJfWd_3VTYx-kXhvZu8rKY5w3soMEzew67J3Og9cSRhUwUVk1M.PiPrq7TvlD3MJ9lI-S5KgfQEFAbB_rZJYc5PwCnCQD4&dib_tag=se&keywords=women+formal+tops&qid=1713621945&s=apparel&sprefix=women+formal+%2Capparel%2C222&sr=1-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1&smid=A1SP3HCVID22Z2
13,van heusen acrylic blend men v-neck sweater,van heusen,blue white,S,sweater winter,men,acrylic blend,https://m.media-amazon.com/images/I/71c41AQZOEL._SY741_.jpg,,1799,0%,https://www.amazon.in/Van-Heusen-Athleisure-Sweater-Soft_72003_Grey/dp/B0BX95WZF8/ref=sr_1_13?crid=3LXLH6HBYF6JI&dib=eyJ2IjoiMSJ9.jr7dNNCUXGOIBy_Gncr-62W6RSZOq3J3AqbbghEY4ivsYOnyUSXB8pH4jykJ-A-iZIO09WHCSJD0wmabSZjIj0wqP0U-3KGQC65x_N-LY6XOtl9Vhsq6ChxFXMZ0hts06H6o_pl95p9g9JT-ySbdAYL3uku_w8tqItMz0JGUYg2nv7TlF77gJ7gTFveS7hy14TFfv558lDhscC067vMBZB4p2GUCdzjpAzM2TumjtKxgqF7otTJEcfNEzsTzuHXCrqvYaPfxIdp6VtybQT4P8mzsKa2iQp2aLsirtVPFLSU.uV_eTjxZsrzC1aP4Gz7FfGf_sn25vXgQ5vk1P4iW1OI&dib_tag=se&keywords=men+sweater+for+winter&qid=1713622270&s=apparel&sprefix=men+swea%2Capparel%2C209&sr=1-13
14,pipasa women woolen buttoned collar neck stylish party winter wear coat cardigan sweater,pipasa,brown grey pista red,S,sweater winter,women,wool,https://m.media-amazon.com/images/I/812nKdUjRJL._SY741_.jpg,,899,55%,https://www.amazon.in/Pipasa-Buttoned-Stylish-Cardigan-Sweater/dp/B09DYCJY9H/ref=sr_1_8?crid=3QBMUGS6S1QRR&dib=eyJ2IjoiMSJ9.sfTW5YSGnWYRoIio274Qf6JLViglq7HMI88fv0SL4hKWTMD5eH4Ajy6HmPd8wcN-QaQZU4PcVYNQpOccTBjUR-XGJep_rnPhDmxQsE8z5XK_2hcxL_-lglLJSzWxu-YLNhDH-1cOyIuGwGImO6Cy3gpUJuO8IUVmCG6v7U1uUaiM_1ybDIEoHQxu1a717pAZ-Basn9NMadOmYvvK_GSGiGxG1b2AckKCw1vRTLLI4duGT0prgradHmKYnmaTyYbUQruWRTNmNt9Efvvzimf1OYm_1K5DQZtfPiQVV_wi_Jc.6pNOSX2_ON_ld4DGhCtmu3uu5KPNoW4TeJICUHTKt2A&dib_tag=se&keywords=women+sweater+for+winter&qid=1713622495&s=apparel&sprefix=women+sweater+for+winter%2Capparel%2C227&sr=1-8
15,spykar mid rise tapered fit blue jeans for men,spykar,blue,S,casual,men,cotton,https://m.media-amazon.com/images/I/61RyTWSR2KL._SX679_.jpg,,"3,499",0%,https://www.amazon.in/Spykar-Tapered-Blue-Jeans-MDKN1BD022_Indigo/dp/B0CSWLC6J1/ref=sr_1_17?crid=Q5FANT9L2FSL&dib=eyJ2IjoiMSJ9.e2b7sec6jyFBNJ8qdxVpJHLOoOalUTZHXDvH03z7ULGd-RzOYYl9MNVfR_2eIimVXKmsEo0mYqGMtsyPhw6DJUDTgM8OnfIawmM53wdWSapL4pT80FJptCy3yccIKIlQnueb9NM6Eh8xK2Es2cVJ3VuhUrqlH7m0FDaPT0UY5UucOnRxiKmJCQ_67v3uphlGIi0oA2uRqqkkiBO41Ieouplg-fF6qZyIuscp3OeOBBr_R-FZAz3MEKQdEqp1qHnTrLdTeqCTH6352tnx2CClnIvN3N6qQkmRlZlih0LYM1I.x56bL-KHAmZqya7f0fU1seyhEJrChgjp3LrWwzgvNgY&dib_tag=se&keywords=spykar+jeans+for+men&qid=1713618744&s=apparel&sprefix=Sypkar%2Capparel%2C222&sr=1-17
16,lymio men jeans || men jeans pants || denim jeans || baggy jeans for men (jeans-06-07-08),lymio,blue,S,aesthetic,men,jeans,https://m.media-amazon.com/images/I/81WzIbilc9L._SY879_.jpg,,749,85%,https://amazon.in/Lymio-Jeans-Pants-Denim-Jeans-06-07-08/dp/B0D16YLQ61/ref=sr_1_5?crid=1PQD2QHQHLSQQ&dib=eyJ2IjoiMSJ9.txj-cQW84e5zEjdWxL_7AX-GdflwdB9I8Uxk9a6_VgULX5VKFKT9ULH8jBWNsCslzWLrjuJvpkqTD4ZFx_Q_jhX57H4lfujdBES9j5FEjq0TyX1oE51n5XKbDsH90j1W-PuoHZX6tb7Y0MRuiQCMyJ8ABxXw1d0IosdzjA3K5kOmvFA9vhRhc_sUKedhJpoo4GlHJOTVYWdUtnd7uze27d59npEy3BcUSPDAv4vGqneFyDCKOVCFFROprhfuGemQgizHcg3FzqN3Q7mHt9El-QgtuvZgHE2tjIXLZAiLfAU.HDLp0uTOrP0Pu_OSuTSKERK7owzyGLx2v4SINdKGl1o&dib_tag=se&keywords=baggy+jeans+for+men&qid=1713619453&s=apparel&sprefix=baggy%2Capparel%2C222&sr=1-5
17,aahwan women's & girls' solid ripped denim high waist wide leg jeans pants,aahwan,black,S,aesthetic,women,jeans,https://m.media-amazon.com/images/I/614I9-+OZfL._SY879_.jpg,,949,81%,https://www.amazon.in/Aahwan-Ripped-LightBlue-Bottom-227-LightBlue-30/dp/B0CG5Q8F1C/ref=sr_1_5?crid=IN6FTBANB4UD&dib=eyJ2IjoiMSJ9.yxWpX5TsoDo8wHviudp6colX1u6lSZ9uZZ9BRwrQT2L-SRadlwH6tGDAxVAzrSo27CCEfIB9U6TP1QaypQ3FKBG5SIx6lDtx4VoXaeraHvaOkCcGphdhHY2Ddn_C67Av4TM62mSBl6xNS0awup0Eg34yXOfN9Pqnu78fu7XXHSPnJMG8XgRpM4H8cQSNObQm_P3OOMdsTrmKOF7gEy6BFgE8TvL1Wjl5gevyiGgF8PCsgpgE9lVw1Doem6XQMDyjn1YF8AvvA7VfENixcPmKJZwz-CrUVSmpzThva-L2iEw.RPVFREWKHsxQbN8RqaATYPIcL4wRo34hnsxfWvClwkc&dib_tag=se&keywords=baggy%2Bjeans%2Bfor%2Bwomen&qid=1713619581&s=apparel&sprefix=baggy%2Bjeans%2Bfor%2Bwomen%2Capparel%2C224&sr=1-5&th=1&psc=1
18,van heusen men formal regular fit trousers,van heusen,black,S,formal,men,cotton,https://m.media-amazon.com/images/I/51+hEeywo+L._SY879_.jpg,,1379,40%,https://www.amazon.in/Van-Heusen-Sport-Trousers-VHTFBSLBA73947_Black_32/dp/B07H6NNDNH/ref=sr_1_6?crid=1RK51QKMBWX6B&dib=eyJ2IjoiMSJ9.35ZESxsQQiBXuVY0Zt86sYB3dUDqJkf4KJ9I3gXHQWc0CLK63ou0G5kISsjLqAXprX9AN19gXDGqa3Z62OWW6akfH2lO4Be5Z3xX1V7gxnnsW0S68h8jG-QWOVKID6Ye5oQ_wUvT15H8vMsm8nvuUc6L9jD-6xI-sqTPfBLxsJt5Xov1hM7g-XkFwit9IFsPXuVnug0CMFemI6cSjGN_iBRXqw9TcmHjz32do5t4HC7HZglEvtBKcBD7oJA3hpqwjjvOwK3wY3e2swyuTtnLngrnQPD3UxWgLanASk73PHU.t-tpJ9-TXdMQBsbzQBHPMFv1X06dEW1OuAzkvvzv9Xo&dib_tag=se&keywords=formal+pants+for+men&qid=1713620023&s=apparel&sprefix=formal+pants+for+me%2Capparel%2C209&sr=1-6
19,symbol premium women's wide leg 4-way stretch formal trousers (flexi-waist | wrinkle resistant | desk-to-dinner),symbol premium store,beige,S,formal,women,polyester blend,https://m.media-amazon.com/images/I/61d8O00LLfL._SY879_.jpg,,1599,43%,https://amazon.in/Symbol-Premium-Relaxed-Business-SBP-SS24-WTR-710_Beige_32/dp/B0CSFD4R1J/ref=sr_1_1_sspa?crid=2G3RJZHWZ0XWE&dib=eyJ2IjoiMSJ9.c7GTF4pfPmrkIhe9XBV9P6m7rTAx31n0dEeoc6S9QucWxg2Amt2HB2ihnpyEDT-Qextz2_ElgX1tmyWJQMJXTS00EtIQM7bbqIVUKenY4p9UoK0n5BQ2fxNvvypl6DYCKL4Nd--MoEw-0WcXkp0yabh9PdN8e33-Q_Z1_THr0AZXH8Qn-q1xxEwouMw1EiGax4ZhknmpOxEh4G9qwDim-RsiyDN4mH_NXTMNd4lVBwi75ZRP_JHZAYwc1-oxb3zNTtJSb7eXdUtLLeC3btF8J1l1WXnnvpfwHwO0mmr0r3Y.hM_LgCIHbaxKAvs-UcmAua7XGdAqIVpJKdHH2IQ8PnI&dib_tag=se&keywords=formal+pants+for+women&qid=1713621756&s=apparel&sprefix=formal+pants+for+women%2Capparel%2C216&sr=1-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&psc=1
