ProductID,Type,ProductBrand,Color,Size,LookBook,Gender,Fabric,ImageLink,Season,DiscountedPrice,Discount,ProductLink
3,Nike Women Shirt,Nike,Black,M,Sports,women,polyester,https://m.media-amazon.com/images/I/41h6g+dkZdL._SX679_.jpg,,809,55%,https://www.amazon.in/Nike-Womens-Slim-Shirt-DQ3312-010_Black/dp/B0BJ2YFBCT/ref=sr_1_3?crid=3QE92DXYPSYJA&dib=eyJ2IjoiMSJ9.PGR_Mk0gKElvd8ucuIh9kocegbmvESNb33O0eftAmnwk_42ERoyqX9o7fMhhhYw88-kzCo2IqcSIAFeB3rGTUF04Wi2EPLqS0PhSPjlldcbrTzWCH7jCenv36ww8aCMHpIf20p77ANmsH8goXdHhQLDxbPXpWfPhWzN236mHWzd5V88WoefrbX3m1QgwHznQhfXlx3oSrGiO3MKLDH5rZVOrafYE5t46_JoS4NrbFXc0unsBao_-WkkGQTT3tX8t1bIQZKp3reh4lNltNdM4uojV5XmKFBt4hQ5QK777HuM.jg0XDBH8G1Dp6IUaCXwi22gyUwWVpWIvhgRqrllSvo8&dib_tag=se&keywords=women+sports+wear+nike&qid=1713617598&sprefix=women+sports+wear+nike%2Caps%2C240&sr=8-3
3,Nike Women Shirt,Nike,Black,XL,Sports,women,polyester,https://m.media-amazon.com/images/I/41h6g+dkZdL._SX679_.jpg,,809,55%,https://www.amazon.in/Nike-Womens-Slim-Shirt-DQ3312-010_Black/dp/B0BJ2X1M5X/ref=sr_1_3?crid=3QE92DXYPSYJA&dib=eyJ2IjoiMSJ9.PGR_Mk0gKElvd8ucuIh9kocegbmvESNb33O0eftAmnwk_42ERoyqX9o7fMhhhYw88-kzCo2IqcSIAFeB3rGTUF04Wi2EPLqS0PhSPjlldcbrTzWCH7jCenv36ww8aCMHpIf20p77ANmsH8goXdHhQLDxbPXpWfPhWzN236mHWzd5V88WoefrbX3m1QgwHznQhfXlx3oSrGiO3MKLDH5rZVOrafYE5t46_JoS4NrbFXc0unsBao_-WkkGQTT3tX8t1bIQZKp3reh4lNltNdM4uojV5XmKFBt4hQ5QK777HuM.jg0XDBH8G1Dp6IUaCXwi22gyUwWVpWIvhgRqrllSvo8&dib_tag=se&keywords=women%2Bsports%2Bwear%2Bnike&qid=1713617598&sprefix=women%2Bsports%2Bwear%2Bnike%2Caps%2C240&sr=8-3&th=1&psc=1
3,Nike Women Shirt,Nike,Black,2XL,Sports,women,polyester,https://m.media-amazon.com/images/I/41h6g+dkZdL._SX679_.jpg,,809,55%,https://www.amazon.in/Nike-Womens-Slim-Shirt-DQ3312-010_Black/dp/B0BJ2Y695B/ref=sr_1_3?crid=3QE92DXYPSYJA&dib=eyJ2IjoiMSJ9.PGR_Mk0gKElvd8ucuIh9kocegbmvESNb33O0eftAmnwk_42ERoyqX9o7fMhhhYw88-kzCo2IqcSIAFeB3rGTUF04Wi2EPLqS0PhSPjlldcbrTzWCH7jCenv36ww8aCMHpIf20p77ANmsH8goXdHhQLDxbPXpWfPhWzN236mHWzd5V88WoefrbX3m1QgwHznQhfXlx3oSrGiO3MKLDH5rZVOrafYE5t46_JoS4NrbFXc0unsBao_-WkkGQTT3tX8t1bIQZKp3reh4lNltNdM4uojV5XmKFBt4hQ5QK777HuM.jg0XDBH8G1Dp6IUaCXwi22gyUwWVpWIvhgRqrllSvo8&dib_tag=se&keywords=women%2Bsports%2Bwear%2Bnike&qid=1713617598&sprefix=women%2Bsports%2Bwear%2Bnike%2Caps%2C240&sr=8-3&th=1&psc=1
4,Nike Women's Polyester Hooded Neck Sweatshirt,Nike,Pink,S,Casual,women,Polyester,https://m.media-amazon.com/images/I/31TAYP--0ZL.jpg,,"1,849",50%,https://www.amazon.in/Nike-Polyester-Sweatshirt-CZ1886-680_Beyond-Black_L/dp/B096FBW7BQ/ref=sr_1_33?crid=1GILE1U3NTUSI&dib=eyJ2IjoiMSJ9.rEZ7EpRc-gdPfkdU6tGaz4W_pKslDDc4wx1c2dIfMib3e64B3uhw-suWilPMoNlSx0fZL6-qwM6Gkb7cY7VWbB4rXTmwMsToaV02EZKrC9jvTmnOPKUX5amQXkYrDtIzC4c7u6SiT6PB7l1U5giIMmngOW8nL_KLLC3ntwschb_ZnhJ9RQPpe5WWVTpiBT-nRlCkBpcEnRcEL_8MkIN8QIMGWExMMe8pgwxqCRBuKkjPl5PnAtgAEg8eneAkysEDuZSSzBOZT2f9DNye914IIxEnt9n3Xkww9t3Q3gDRq8E.VZCdUwkBFUms5RZg9trGv2B8q3uQtSAlXZD6_1xKIXs&dib_tag=se&keywords=women%2Bcasual%2Bwear%2Bnike&qid=1713617796&sprefix=women%2Bcasual%2Bwear%2Bnike%2Caps%2C242&sr=8-33&th=1&psc=1
4,Nike Women's Polyester Hooded Neck Sweatshirt,Nike,Pink,M,Casual,women,Polyester,https://m.media-amazon.com/images/I/31TAYP--0ZL.jpg,,"1,849",50%,https://www.amazon.in/Nike-Polyester-Sweatshirt-CZ1886-680_Beyond-Black_L/dp/B096FBW7BQ/ref=sr_1_33?crid=1GILE1U3NTUSI&dib=eyJ2IjoiMSJ9.rEZ7EpRc-gdPfkdU6tGaz4W_pKslDDc4wx1c2dIfMib3e64B3uhw-suWilPMoNlSx0fZL6-qwM6Gkb7cY7VWbB4rXTmwMsToaV02EZKrC9jvTmnOPKUX5amQXkYrDtIzC4c7u6SiT6PB7l1U5giIMmngOW8nL_KLLC3ntwschb_ZnhJ9RQPpe5WWVTpiBT-nRlCkBpcEnRcEL_8MkIN8QIMGWExMMe8pgwxqCRBuKkjPl5PnAtgAEg8eneAkysEDuZSSzBOZT2f9DNye914IIxEnt9n3Xkww9t3Q3gDRq8E.VZCdUwkBFUms5RZg9trGv2B8q3uQtSAlXZD6_1xKIXs&dib_tag=se&keywords=women%2Bcasual%2Bwear%2Bnike&qid=1713617796&sprefix=women%2Bcasual%2Bwear%2Bnike%2Caps%2C242&sr=8-33&th=1&psc=1
4,Nike Women's Polyester Hooded Neck Sweatshirt,Nike,Pink,L,Casual,women,Polyester,https://m.media-amazon.com/images/I/31TAYP--0ZL.jpg,,"1,849",50%,https://www.amazon.in/Nike-Polyester-Sweatshirt-CZ1886-680_Beyond-Black_L/dp/B096FD6HTL/ref=sr_1_33?crid=1GILE1U3NTUSI&dib=eyJ2IjoiMSJ9.rEZ7EpRc-gdPfkdU6tGaz4W_pKslDDc4wx1c2dIfMib3e64B3uhw-suWilPMoNlSx0fZL6-qwM6Gkb7cY7VWbB4rXTmwMsToaV02EZKrC9jvTmnOPKUX5amQXkYrDtIzC4c7u6SiT6PB7l1U5giIMmngOW8nL_KLLC3ntwschb_ZnhJ9RQPpe5WWVTpiBT-nRlCkBpcEnRcEL_8MkIN8QIMGWExMMe8pgwxqCRBuKkjPl5PnAtgAEg8eneAkysEDuZSSzBOZT2f9DNye914IIxEnt9n3Xkww9t3Q3gDRq8E.VZCdUwkBFUms5RZg9trGv2B8q3uQtSAlXZD6_1xKIXs&dib_tag=se&keywords=women+casual+wear+nike&qid=1713617796&sprefix=women+casual+wear+nike%2Caps%2C242&sr=8-33
4,Nike Women's Polyester Hooded Neck Sweatshirt,Nike,Pink,XL,Casual,women,Polyester,https://m.media-amazon.com/images/I/31TAYP--0ZL.jpg,,"1,849",50%,https://www.amazon.in/Nike-Polyester-Sweatshirt-CZ1886-680_Beyond-Black_L/dp/B096FCXXTK/ref=sr_1_33?crid=1GILE1U3NTUSI&dib=eyJ2IjoiMSJ9.rEZ7EpRc-gdPfkdU6tGaz4W_pKslDDc4wx1c2dIfMib3e64B3uhw-suWilPMoNlSx0fZL6-qwM6Gkb7cY7VWbB4rXTmwMsToaV02EZKrC9jvTmnOPKUX5amQXkYrDtIzC4c7u6SiT6PB7l1U5giIMmngOW8nL_KLLC3ntwschb_ZnhJ9RQPpe5WWVTpiBT-nRlCkBpcEnRcEL_8MkIN8QIMGWExMMe8pgwxqCRBuKkjPl5PnAtgAEg8eneAkysEDuZSSzBOZT2f9DNye914IIxEnt9n3Xkww9t3Q3gDRq8E.VZCdUwkBFUms5RZg9trGv2B8q3uQtSAlXZD6_1xKIXs&dib_tag=se&keywords=women%2Bcasual%2Bwear%2Bnike&qid=1713617796&sprefix=women%2Bcasual%2Bwear%2Bnike%2Caps%2C242&sr=8-33&th=1&psc=1
4,Nike Women's Polyester Hooded Neck Sweatshirt,Nike,Pink,XS,Casual,women,Polyester,https://m.media-amazon.com/images/I/31TAYP--0ZL.jpg,,"1,849",50%,https://www.amazon.in/Nike-Polyester-Sweatshirt-CZ1886-680_Beyond-Black_L/dp/B096FD1JLV/ref=sr_1_33?crid=1GILE1U3NTUSI&dib=eyJ2IjoiMSJ9.rEZ7EpRc-gdPfkdU6tGaz4W_pKslDDc4wx1c2dIfMib3e64B3uhw-suWilPMoNlSx0fZL6-qwM6Gkb7cY7VWbB4rXTmwMsToaV02EZKrC9jvTmnOPKUX5amQXkYrDtIzC4c7u6SiT6PB7l1U5giIMmngOW8nL_KLLC3ntwschb_ZnhJ9RQPpe5WWVTpiBT-nRlCkBpcEnRcEL_8MkIN8QIMGWExMMe8pgwxqCRBuKkjPl5PnAtgAEg8eneAkysEDuZSSzBOZT2f9DNye914IIxEnt9n3Xkww9t3Q3gDRq8E.VZCdUwkBFUms5RZg9trGv2B8q3uQtSAlXZD6_1xKIXs&dib_tag=se&keywords=women%2Bcasual%2Bwear%2Bnike&qid=1713617796&sprefix=women%2Bcasual%2Bwear%2Bnike%2Caps%2C242&sr=8-33&th=1&psc=1
5,Puma Men Sweatshirt,Puma,Gray,XS,Regular,men,Cotton,https://m.media-amazon.com/images/I/61WRIRaAJpL._SX679_.jpg,,"1,499",50%,https://www.amazon.in/Puma-Cotton-Sweatshirt-84979103_Medium-Heather_L/dp/B0BFXBYVTD/ref=sr_1_7?crid=2J5EG0WZ72AFK&dib=eyJ2IjoiMSJ9.7aPBKZm2r8CW2gLBwt9kOBgCI-3kBW5Saz1GhOP-E35RNDHbvDDFNapcK22D-n3tLf3cjbC1WqiR421M4dWTShUI6vNmmDeAUbMTNoTWxCHtlz7u6Nn_oAzOSV6kniHJJ6OQkzOME30AORmoSJfWxNuMp2I_qFb5b4WPwka5U0QnZQA5i9PgqRpXW498d_3GFizbe9GZnTEDBwNNb-YT76MQqvue06hlHKmk6GlnaBt7LNecCnPTDr0Cve-EduRMdTnov2188lFvSFtsO-rS5_6AXPwMVSJCsjyNFk9q2dw.e88CxwNWjK9yZuk-df9A4t5keiAw4N3wtuIouoyy0sk&dib_tag=se&keywords=men+sweatshirt+puma&qid=1713618090&sprefix=man+swatshirt+puma%2Caps%2C228&sr=8-7
5,Puma Men Sweatshirt,Puma,Gray,S,Regular,men,Cotton,https://m.media-amazon.com/images/I/61WRIRaAJpL._SX679_.jpg,,"1,499",50%,https://www.amazon.in/Puma-Cotton-Sweatshirt-84979103_Medium-Heather_L/dp/B0BFXBYVTD/ref=sr_1_7?crid=2J5EG0WZ72AFK&dib=eyJ2IjoiMSJ9.7aPBKZm2r8CW2gLBwt9kOBgCI-3kBW5Saz1GhOP-E35RNDHbvDDFNapcK22D-n3tLf3cjbC1WqiR421M4dWTShUI6vNmmDeAUbMTNoTWxCHtlz7u6Nn_oAzOSV6kniHJJ6OQkzOME30AORmoSJfWxNuMp2I_qFb5b4WPwka5U0QnZQA5i9PgqRpXW498d_3GFizbe9GZnTEDBwNNb-YT76MQqvue06hlHKmk6GlnaBt7LNecCnPTDr0Cve-EduRMdTnov2188lFvSFtsO-rS5_6AXPwMVSJCsjyNFk9q2dw.e88CxwNWjK9yZuk-df9A4t5keiAw4N3wtuIouoyy0sk&dib_tag=se&keywords=men+sweatshirt+puma&qid=1713618090&sprefix=man+swatshirt+puma%2Caps%2C228&sr=8-8
